healpix,ok
643716612507574969,True
643667991566963442,True
518018805839601493,True
464874415032604949,True
703351599638943500,True
463136585271514425,True
643956320482942923,True
661557360961683860,True
795649349220677565,True
777524296081248665,True
411997181591063285,True
748607156920711071,True
423316415580359753,True
1322937030956198746,True
1321461788862907504,True
665937459742853633,True
839726005446584537,True
669824110808932721,True
780662487814364080,True
731764274614463914,True
692753295871210359,True
643918230501620507,True
702704851295478406,True
702751362661179565,True
452141505299482006,True
759886553051287768,True
463442522327203298,True
702383920940136549,True
696050057163696951,True
695561759213192630,True
2016381822138589735,True
753731584745843642,True
382535815399704783,True
379203858573160354,True
451895783143328218,True
777345623333866653,True
452616680281025771,True
803936332850137503,True
803954068071214749,True
803923888260077405,True
803954630989950384,True
803938534994267883,True
803941756820295485,True
803958515276888349,True
735150065724834395,True
386056016574550846,True
386046179614716889,True
734035310765275440,True
692448770251889838,True
394101163285126044,True
690169377003868518,True
423700522284486508,True
401226263216876265,True
815661287923166537,True
815664449476990309,True
815659375669176992,True
383181975550365978,True
358581867396687728,True
378029596708559108,True
1248532260318537629,True
517448019629585642,True
381364048083379994,True
666478694168181010,True
719122981672477092,True
744468633803924845,True
790371738190142253,True
790316095280123027,True
790371738190117038,True
513129579782861831,True
755507561548819858,True
737762544838280936,True
1250403913445224730,True
691750615371431242,True
686222109516976273,True
395989294762485414,True
693440405100101914,True
700818212459560512,True
669067890852127868,True
800970782337115293,True
720429367133136635,True
720386756435667206,True
720429367155518642,True
767411131340229044,True
428018850521102439,True
739740810933222019,True
663558619534407406,True
737462303780929056,True
692525188963483250,True
692513937527418168,True
453101426271574182,True
806945460297438871,True
358827163201943181,True
639240206494998403,True
639259051444758124,True
440626558034962587,True
533900653136336803,True
459553423253517940,True
763652738792163991,True
384540159146712742,True
774795649749698043,True
734479794038499948,True
734440661460816289,True
716384633284536887,True
839968421427257229,True
698272966227647300,True
423943319828810992,True
375497820450489196,True
738985344910745048,True
831288762871434402,True
351219017109612495,True
351150431978014323,True
467521218035443436,True
387267003854073078,True
419318168466272079,True
802647338677154755,True
412567360878600864,True
831686255855864440,True
429244707434169850,True
840521720445590236,True
815371729558086943,True
739966191637416420,True
739950388490686671,True
665212584000563889,True
516054392911994651,True
832083343616265460,True
832150216056045317,True
2014625773648594018,True
416905004426589176,True
791128734861406387,True
389343738416178213,True
755888022004031119,True
755865804568103054,True
749832849641154022,True
429392497923244400,True
790138513128338754,True
357152922893115174,True
804319536179514129,True
763252417274728226,True
804006631677182665,True
804007152507169155,True
804007152507195738,True
768049249200203632,True
698656636112133800,True
698656636117726165,True
698638866762901154,True
735845222118504113,True
670627528822843290,True
399215953603230671,True
711092703066423604,True
758153561834779240,True
758190737007761377,True
695209600260955309,True
695241306024201869,True
714505859452273337,True
714469786058294415,True
417349658245932708,True
692423573519833612,True
646184498691380691,True
805393881805545296,True
714676592436667650,True
691052859674088283,True
693055348030852147,True
663253593475299751,True
379239485948834323,True
773177405582103344,True
837846090684893115,True
359982573074752255,True
406821461521790397,True
760093238727655413,True
421928155495968631,True
514601264826642473,True
758133476724602736,True
747911971202230404,True
837788916668523091,True
462809192281278104,True
462802602379695233,True
463022359294628274,True
387939440975039011,True
396186823633367449,True
449624073503365231,True
