main_id,coo_bibcode,object_id,ra_in,dec_in,_source_set,_survey,object_id_clean,row_key
LEDA 1125085,2009ApJS..182..543A,39627758174736694,217.45317236263705,-1.168404961883768,filtered_data,desi,39627758174736694,225
[VV2006] J142758.9-012131,2020yCat.1350....0G,39627758166349285,216.99536096364184,-1.3584516547764718,filtered_data,desi,39627758166349285,226
4FGL J1425.4-0119,2020yCat.1350....0G,39627758157958026,216.3590882518487,-1.3071621444813346,filtered_data,desi,39627758157958026,227
LBQS 1430-0046,2020yCat.1350....0G,39627764227117829,218.1851734079787,-0.9875237550930308,filtered_data,desi,39627764227117829,228
LEDA 1149845,2009ApJS..182..543A,39627782342312152,217.75760879997136,-0.182496690921231,filtered_data,desi,39627782342312152,229
SLACS SDSS J1436-0000 source,2020yCat.1350....0G,39627788403084375,219.11472962031385,-0.0081142617386296,filtered_data,desi,39627788403084375,230
[VV2006] J143400.1+002648,2020yCat.1350....0G,39627800474288178,218.50038714889257,0.4469727782060237,filtered_data,desi,39627800474288178,231
SDSS J142950.57-002326.4,2009ApJS..182..543A,39627776294130144,217.46071415292388,-0.3906923062072279,filtered_data,desi,39627776294130144,232
LINEAR 11683432,2020yCat.1350....0G,39627794413524075,217.48224960367483,0.1844761798641589,filtered_data,desi,39627794413524075,233
LEDA 1163245,2020yCat.1350....0G,39627794417714340,217.55200443268137,0.3335458847925608,filtered_data,desi,39627794417714340,234
LEDA 1164888,2020yCat.1350....0G,39627800453319094,217.3594116556113,0.3975812973570181,filtered_data,desi,39627800453319094,235
[HMR2016] N5584 H26,2016ApJ...830...10H,39627776264768479,215.61020356303536,-0.403367769676405,filtered_data,desi,39627776264768479,236
NVSS J142056-000429,2020yCat.1350....0G,39627788335978970,215.23619531954384,-0.0732917540805268,filtered_data,desi,39627788335978970,237
2QZ J142441.2-000727,2020yCat.1350....0G,39627788352753617,216.17170370462665,-0.1242089285697348,filtered_data,desi,39627788352753617,238
SDSS J141918.49+000335.4,2009ApJS..182..543A,39627788331779775,214.82705110674945,0.0598548513143706,filtered_data,desi,39627788331779775,239
SDSS J141654.48-000534.0,2011yCat.2306....0A,39627788319200469,214.2270854191944,-0.0928130240674369,filtered_data,desi,39627788319200469,240
SDSS J142505.53+002259.3,2009ApJS..182..543A,39627800436539939,216.27304019212548,0.3831385472631192,filtered_data,desi,39627800436539939,241
SDSS J142538.64+004831.3,2009ApJS..182..543A,39627806476340909,216.4109853215845,0.8087162953551951,filtered_data,desi,39627806476340909,242
SDSS J142858.41+011304.9,2009ApJS..182..543A,39627818568520274,217.24336994057,1.2180612571027971,filtered_data,desi,39627818568520274,243
[VV98] J142917.7+012100,2020yCat.1350....0G,39627818572711516,217.3236850090413,1.3496687474009887,filtered_data,desi,39627818572711516,244
PG 1425+019,2020yCat.1350....0G,39627830643920215,216.92093984289312,1.715268569517736,filtered_data,desi,39627830643920215,245
LEDA 1172312,2020yCat.1350....0G,39627806518283507,218.8917394497915,0.6717298522366109,filtered_data,desi,39627806518283507,246
2QZ J143210.1+012551,2020yCat.1350....0G,39627824625091499,218.0423047847653,1.4310495981496936,filtered_data,desi,39627824625091499,247
